Zip Code,Place Name,County,State,State Abbreviation,Latitude,Longitude
501,Holtsville,Suffolk,New York,NY,40.8154,-73.0451
544,Holtsville,Suffolk,New York,NY,40.8154,-73.0451
1001,Agawam,Hampden,Massachusetts,MA,42.0702,-72.6227
1002,Amherst,Hampshire,Massachusetts,MA,42.3671,-72.4646
1003,Amherst,Hampshire,Massachusetts,MA,42.3919,-72.5248
1004,Amherst,Hampshire,Massachusetts,MA,42.3845,-72.5132
1005,Barre,Worcester,Massachusetts,MA,42.4097,-72.1084
1007,Belchertown,Hampshire,Massachusetts,MA,42.2751,-72.411
1008,Blandford,Hampden,Massachusetts,MA,42.1829,-72.9361
1009,Bondsville,Hampden,Massachusetts,MA,42.2061,-72.3405
1010,Brimfield,Hampden,Massachusetts,MA,42.1165,-72.1885
1011,Chester,Hampden,Massachusetts,MA,42.2794,-72.9888
1012,Chesterfield,Hampshire,Massachusetts,MA,42.3923,-72.8256
1013,Chicopee,Hampden,Massachusetts,MA,42.1487,-72.6079
1014,Chicopee,Hampden,Massachusetts,MA,42.1707,-72.6048
1020,Chicopee,Hampden,Massachusetts,MA,42.1764,-72.5761
1021,Chicopee,Hampden,Massachusetts,MA,42.1707,-72.6048
1022,Chicopee,Hampden,Massachusetts,MA,42.1934,-72.5544
1026,Cummington,Hampshire,Massachusetts,MA,42.4633,-72.9202
1027,Easthampton,Hampshire,Massachusetts,MA,42.2668,-72.669
1028,East Longmeadow,Hampden,Massachusetts,MA,42.0672,-72.5056
1029,East Otis,Berkshire,Massachusetts,MA,42.1909,-73.0517
1030,Feeding Hills,Hampden,Massachusetts,MA,42.0718,-72.6751
1031,Gilbertville,Worcester,Massachusetts,MA,42.3322,-72.1986
1032,Goshen,Hampshire,Massachusetts,MA,42.4404,-72.7995
1033,Granby,Hampshire,Massachusetts,MA,42.2557,-72.52
1034,Granville,Hampden,Massachusetts,MA,42.1127,-72.952
1035,Hadley,Hampshire,Massachusetts,MA,42.3606,-72.5715
1036,Hampden,Hampden,Massachusetts,MA,42.0648,-72.4318
1037,Hardwick,Worcester,Massachusetts,MA,42.3479,-72.2253
1038,Hatfield,Hampshire,Massachusetts,MA,42.3844,-72.6167
